Entity_Type,File,GT_Text,GT_Line
Organism,37328468,HNV,31
Organism,37328468,Hendra,32
Organism,37328468,Mojiang virus,33
Organism,37330510,murine,35
Organism,37330510,Bacterial,36
Organism,37330510,Escherichia coli,38
Organism,37330510,E. coli,40
Organism,37681923,human,37
OrganismPart,21183079,tissues,21
OrganismPart,21183079,Mice,22
OrganismPart,21183079,organs,29
OrganismPart,24657495,human erythrocytes,36
OrganismPart,26076430,cells,73
OrganismPart,26076430,tissue,74
OrganismPart,26725330,breast,57
OrganismPart,28675934,tumor sections,50
OrganismPart,28675934,ECM,52
OrganismPart,28675934,extracellular matrix,54
OrganismPart,29681787,rectum,47
OrganismPart,31699904,myoblast,34
OrganismPart,31699905,hippocampus,41
OrganismPart,31699905,brain,44
OrganismPart,33630598,Cells,40
OrganismPart,33855848,epithelial,42
OrganismPart,35236848,m(6)A writer complex,18
OrganismPart,35236989,placenta,40
OrganismPart,37207340,mitochondrial ribosome,23
OrganismPart,37207340,mitoribosome,24
OrganismPart,37328468,Langya fusion protein,34
OrganismPart,37328468,PNGase F,35
OrganismPart,37330510,Blood,44
OrganismPart,37330510,Organ,48
OrganismPart,37330510,leukocytes,50
OrganismPart,37330510,glomeruli,51
OrganismPart,37330510,organs,52
OrganismPart,37330510,blood,54
OrganismPart,37681923,Platelets,38
OrganismPart,37681923,blood,39
OriginSiteDisease,28675934,breast,55
OriginSiteDisease,28675934,ovarian,56
PooledSample,28680058,four,53
PooledSample,28680058,12,54
PooledSample,31395880,total,36
PooledSample,32860207,pooled,41
PooledSample,33630598,24,42
PooledSample,37330510,12 h together with 18 h,55
PrecursorMassTolerance,25100859,0.01 Da,30
ReductionReagent,35236989,iodoacetamide,41
SampleTreatment,21183079,in-gel digestion,33
SampleTreatment,26149123,sorbitol treatment,62
SampleTreatment,26725330,FFPE,61
SampleTreatment,28091603,alkaline phosphatase,30
SampleTreatment,29681787,concentration,50
SampleTreatment,29681787,formalin-fixed paraffin-embedded,51
SampleTreatment,29681787,dewaxing,52
SampleTreatment,29681787,FFPE,53
SampleTreatment,29681787,homogenisation,54
SamplingTime,26076430,60 ms,77
SamplingTime,26076430,250 ms,78
SamplingTime,26149123,every 8 h,56
SamplingTime,26149123,blood stage 3D7,57
SamplingTime,26149123,24 h,58
SamplingTime,26149123,500 ms,59
SamplingTime,26149123,16,60
SamplingTime,26149123,ate-stage schizonts,61
SamplingTime,32860207,between January 2014 until November 2015,43
SamplingTime,37330510,6 h,59
Separation,21183079,SDS-PAGE,34
Separation,21183079,immobilized metal affinity chromatography,35
Separation,24657495,IMAC purification,40
Separation,26149123,immobilized metal affinity chromatography,65
Separation,26149123,MACS CS,67
Separation,26149123,IMAC,68
Separation,28091603,SDS-PAGE,31
Separation,28680058,reverse-phase liquid chromatography,57
Separation,28680058,RPLC,59
Separation,29681787,NuPAGE gel 4-12% bis-Tris 1.5 mm x 10 well,55
Separation,29681787,in-gel separated,57
Separation,29681787,Dionex Ultimate 3000 nanoHPLC system,58
Separation,31395880,nanoflow ultra-high performance liquid chromatograph,39
Separation,31699904,SDS-PAGE,38
Separation,31699904,nanoHPLC system Ultimate 3000,39
Separation,31699905,liquid chromatography,49
Separation,31699905,UltiMate(TM) 3000 RSLCnano System,50
Separation,32284562,HPLC,70
Separation,32860207,NuPAGE SDS-PAGE,45
Separation,33630598,HPLC,45
Separation,33630598,reverse-phase,46
Separation,35037038,SDS-PAGE,18
Separation,35236989,NanoLC 425 Ultra system,45
Separation,35680998,EASY-nLC 1000,38
Separation,37207340,12% Tris-glycine SDS-PAGE,25
Separation,37207340,HPLC,26
Separation,37328468,Microscale LC system,38
Sex,37681923,sex,45
Specimen,37328468,henipavirus,40
Specimen,37328468,MojV,41
Specimen,37328468,Langya virus,42
Specimen,37328468,HeV,43
Specimen,37328468,LayV,44
Specimen,37328468,Nipah,45
Specimen,37328468,NiV,46
Specimen,37328468,HNV,47
Specimen,37328468,Hendra,48
Specimen,37328468,Mojiang virus,49
SpikedCompound,31395880,standard peptides,42
SpikedCompound,31699904,13 spike-in proteins,49
SpikedCompound,31699904,spiked with 13 proteins in five different concentrations,50
SpikedCompound,31699904,pmol,51
SpikedCompound,31699904,13 non-mouse,57
Staining,29681787,H&E,60
Staining,29681787,haematoxylin and eosin,62
Staining,33630598,BY4742,47
Strain,35236848,hakai-2,20
Strain,35680998,India,49
Strain,36097293,Supplementary Table 2,33
Strain,37330510,E. coli O18:K1,69
SupplementaryFile,21183079,Expanded Experimental Procedures,37
SupplementaryFile,25100859,Table S1,33
SupplementaryFile,25100859,Fig. S2,34
SupplementaryFile,25100859,Table S4,35
SupplementaryFile,25100859,able S3,36
SupplementaryFile,25218447,Supplementary Fig. 1A-C,50
SupplementaryFile,25218447,Online Supplementary Information,51
SupplementaryFile,25218447,(Supplementary Table 1),52
SupplementaryFile,25218447,Supplementary Data Set 1,53
SupplementaryFile,26149123,Supplementary Data 1,72
SupplementaryFile,26149123,Supplementary Fig. 4,73
SupplementaryFile,26725330,Supplementary Table 1,67
SupplementaryFile,28091603,Supplementary Fig. 4d,33
SupplementaryFile,28675934,Supplementary Table S1A,62
SupplementaryFile,31395880,Supplementary Data 1,44
SupplementaryFile,31395880,Table 1,45
SupplementaryFile,31395880,Supplementary Fig. 15,46
SupplementaryFile,31699904,supplemental Table S2,62
SupplementaryFile,35037038,Supplemental Figure S4C,20
SupplementaryFile,36097293,Supplementary Table 2,34
SupplementaryFile,37207340,Supplementary Table S2,30
SupplementaryFile,37207340,Supplementary Information,31
SupplementaryFile,37681923,Table 1,46
TechnologyType,28091603,mass spectrometry analysis,39
TechnologyType,28091603,TAG-Proteogenomic,40
TechnologyType,33630598,Proxeon EASY-nLC 1200 LC pump,52
TechnologyType,33630598,Orbitrap Fusion Lumos,53
Temperature,24657495,97 degreesC,44
Temperature,25100859,37 degreesC,41
Temperature,25218447,room temperature,55
Temperature,26725330,37 degreesC,73
Temperature,28091603,ambient temperature,36
Temperature,28091603,37 degreesC,37
Temperature,28675934,room temperature,67
Temperature,28680058,room temperature,64
Temperature,28680058,60 degreesC,65
Temperature,29681787,40 degreesC,63
Temperature,29681787,37 degreesC,64
Temperature,29681787,98 degreesC,65
Temperature,31395880,37 degreesC,55
Temperature,31395880,room temperature,56
Temperature,31395880,60 degreesC,57
Temperature,31699904,ambient temperature,65
Temperature,31699904,56 degreesC,67
Temperature,32284562,56degreesC,75
Temperature,32284562,RT,76
Temperature,32860207,room temperature,48
Temperature,33630598,room temperature,51
Temperature,33855848,37 degreesC,53
Temperature,35037038,room temperature,22
Temperature,37328468,30 degreesC,52
Temperature,37681923,37 degreesC,49
Temperature,37681923,room temperature,50
Time,24657495,4 h,42
Time,24657495,5 min,43
Time,25100859,150 min,37
Time,25100859,88,38
Time,25100859,9 h,39
Time,25100859,12,40
Time,26149123,48 h,74
Time,26149123,24 h,75
Time,26149123,32,76
Time,26149123,4 h,77
Time,26149123,40,79
Time,26149123,30 min,80
Time,26149123,overnight,81
Time,26149123,16,82
Time,26149123,8 h,83
Time,26725330,n,72
Time,28091603,20 min,34
Time,28091603,overnight,35
Time,28675934,16 h,63
Time,28675934,2 h,64
Time,28675934,1 h,65
Time,28680058,30 min,60
Time,28680058,overnight,61
Time,28680058,1 h,62
Time,31395880,20 min,51
Time,31395880,overnight,52
Time,31395880,1 h,53
Time,31395880,15 min,54
Time,32284562,4 hour,74
Time,33630598,overnight,49
Time,33855848,30 min,51
Time,33855848,16 h,52
Time,35236989,105 min,48
Time,37328468,30 min,50
Time,37328468,1 h,51
Time,37681923,30 min,47
Time,37681923,overnight,48
Treatment,21183079,in-gel,38
Treatment,28680058,sorbitol,66
Treatment,29681787,NRCT,69
Treatment,29681787,formalin-fixed paraffin-embedded,70
Treatment,29681787,FFPE,71
Treatment,35037038,T3,23
Treatment,37330510,Mem,72
Treatment,37330510,Gcc,74
TumorCellularity,31395880,tumor cellularit,47
TumorGrade,26725330,2-3,68
TumorGrade,31395880,tumor necrosis,48
TumorSite,26725330,ductal carcinomas,69
TumorSite,26725330,lobular,70
TumorSite,31395880,squamous cell carcinoma,49
TumorStage,26725330,I-II,71
TumorStage,31395880,TNM staging,50
separation,21183079,immobilized metal affinity chromatography,3
separation,25218447,EASY-nLC system,12
separation,26076430,Agilent 300 Extend C18 column,10
separation,26076430,Agilent 1200 binary HPLC pump,11
separation,26149123,RSLCnano HPLC system,12
separation,28091603,Ultimate 3000 RSLCnano,9
separation,28675934,EASY-nLC1000,12
separation,29681787,Dionex Ultimate 3000 nanoHPLC,13
separation,31699904,nanoHPLC system Ultimate 3000,15
separation,31699905,UltiMate(TM) 3000 RSLCnano System,6
separation,32860207,Ultimate 3000 nanoLC system,6
separation,33630598,Proxeon EASY-nLC 1200 LC pump,11
separation,33855848,EASY-nLC 1000 liquid chromatography,10
separation,35236989,NanoLC 425 Ultra system,10
separation,37207340,Easy-nLC 1200,8
separation,37328468,Microscale LC system,7
separation,37330510,EASY-nLC 1200 ultra-HPLC,14
