Entity_Type,File,Pred_Text,Pred_Line
OriginSiteDisease,PMC7144211,renal,43
PooledSample,PMC4746666,pooled,38
PooledSample,PMC7294662,pooled,60
PooledSample,PMC7367873,pooled,62
PrecursorMassTolerance,PMC7294662,5 ppm,61
PrecursorMassTolerance,PMC7294662,20 ppm,63
SamplingTime,PMC5535869,three days after pollination,30
SamplingTime,PMC5535869,seven days after pollination,31
SamplingTime,PMC7144211,3 months after local treatment,45
SamplingTime,PMC7294662,4 h IFNβ stimulation,65
SamplingTime,PMC7294662,24 h IFNβ stimulation,66
SamplingTime,PMC7367873,10–15 min,66
SamplingTime,PMC8698288,14 h of host cell infection,37
SamplingTime,PMC8698288,56 h,38
Separation,PMC4746666,EASY nLC-II,41
Separation,PMC5535869,Easy-nLC1000 UPLC system,34
Separation,PMC6918071,one-dimensional LC-MS/MS,23
Separation,PMC7144211,"nanoflow HPLC system (Easy-nLC1000, Thermo Fisher Scientific)",46
Separation,PMC7294662,Agilent 1100 HPLC system,67
Separation,PMC7294662,"Agilent Zorbax Extend column (1.0 × 50 mm, 3.5 μm particles)",68
Separation,PMC7294662,Easy nano LC 1000 nanoflow HPLC,69
Separation,PMC7294662,fused silica trap column,70
Separation,PMC7294662,analytical column was from 75-μm-inner-diameter fused silica capillary,71
Separation,PMC7294662,Aqua C-18 beads,72
Separation,PMC7294662,Reprosil-Pur C-18-AQ beads,73
Separation,PMC7294662,Easy nano LC 1000 HPLC,74
Separation,PMC7294662,fused silica fritted trap column,75
Separation,PMC7294662,"40-cm-long, 75-μm-inner-diameter fused silica analytical column",76
Separation,PMC7367873,UltiMate 3000 RSLC nano LC system,67
Separation,PMC7367873,Dionex Ultimate3000 nano-HPLC,70
Separation,PMC8698288,nanoLC-MS/MS,39
Separation,PMC8698288,Ultimate 3000 liquid chromatography system,40
Specimen,PMC7921882,SPT solutions,27
Specimen,PMC7921882,allergy vaccines,28
Specimen,PMC7921882,extracts,29
SpikedCompound,PMC6918071,human hair,24
Strain,PMC10681723,W303-1,17
SyntheticPeptide,PMC7367873,phosphopeptide library,73
SyntheticPeptide,PMC7367873,PDP-Nal,74
SyntheticPeptide,PMC7367873,PDPm-Nal,75
Temperature,PMC10681723,30°C,18
Temperature,PMC7294662,37 °C,77
Temperature,PMC7367873,37 °C,76
Temperature,PMC8698288,37 °C,45
Time,PMC5535869,three DAP,36
Time,PMC5535869,seven DAP,37
Time,PMC7367873,10–15 min,77
Time,PMC8698288,14 h,46
Time,PMC8698288,56 h,47
Treatment,PMC5830451,type 1 diabetic,34
Treatment,PMC6918071,S-rich,25
Treatment,PMC6918071,S-depleted,26
Treatment,PMC7144211,radical prostatectomy,49
Treatment,PMC7144211,intensity-modulated radiation therapy,50
Treatment,PMC7294662,siRPL28,81
Treatment,PMC7294662,siRPS26,82
Treatment,PMC7294662,siRPS28,83
Treatment,PMC7367873,Calyculin A,78
Treatment,PMC8698288,biotin,48
